name,brand,category,barcode,vegNonVeg,available_quantities,ingredients,allergens,side_effects,harm_level,image_url
Malasa Masti,Balaji Wafers,plant-based-foods-and-beverages,8906010500030,,"[""30g""]","[""POTATO (87%)"", ""EDIBLE VEGETABLE OIL (PALMOLEIN)"", ""SUGAR"", ""SPICES & CONDIMENTS 1% (CHILLI"", ""DRY MANGO"", ""CORIANDER"", ""CUMIN"", ""BLACK PEPPER"", ""GINGER"", ""CLOVE)"", ""EDIBLE COMMON SALT"", ""BLACK SALT""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/601/050/0030/front_en.26.400.jpg
Tropicana Litchi Delight Juice 1Ltr (Pckt),Tropicana,plant-based-foods-and-beverages,8902080013272,,"[""200 ml""]","[""WATER"", ""LITCHI PULP 13%"", ""SUGAR"", ""CONCENTRATED APPLE JUICE (2%)"", ""ACIDITY REGULATOR (296)"", ""FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)"", ""STABILIZER (440)"", ""IODISED SALT"", ""ANTIOXIDANT (300).""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/208/001/3272/front_en.14.400.jpg
Thumbs Up 750ml,coca-cola-company,beverages,8901764042270,,"[""24""]","[""CARBONATED WATER"", ""SUGAR"", ""ACIDITY REGULATOR (338)"", ""CAFFEINE (8.3 mg/100 g)"", ""COLOUR (1506) FLAVOURS (NATURAL"", ""NATURE-IDENTICAL & ARTIFICIAL (COLA) FLAVOURING SUBSTANCES). &quot"", ""CONTAINS CAFFEINE&quot""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/176/404/2270/front_en.46.400.jpg
Aachi chicken masala,aachi,plant-based-foods-and-beverages,8906021120470,,"[""100g""]","[""Spice Content - 77% (Red Chilli powder. Turmeric powder"", ""Black Pepper"", ""Cumin"", ""Cassia Bark (Taj)"", ""Cardamom. Garlic flakes"", ""Dry Ginger"", ""Dry Fenugreek Leaves"", ""Mustard). Gram Dhal"", ""Toor Dhal"", ""Urad Dal and Salt - 5%""]","[""mustard""]",[],,https://images.openfoodfacts.org/images/products/890/602/112/0470/front_en.5.400.jpg
Coconut oil,parachute,plant-based-foods-and-beverages,8901088000345,,"[""200ml(182g)""]","[""Coconut Oil""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/108/800/0345/front_en.15.400.jpg
Quick Chicken Pizza Instant Noodles,wai-wai,plant-based-foods-and-beverages,8901741003027,,"[""75 g""]","[""Noodles (with seasonings): Wheat flour"", ""Edible vegetable oil (Palm)"", ""lodised salt"", ""Wheat gluten"", ""Softening agent (500ii)"", ""Soya sauce"", ""Black pepper"", ""Flavour enhancer (621"", ""627"", ""631)"", ""Guar gum (412)"", ""Acidity regulator (451i)"", ""Onion"", ""Calcium Carbonate (170i)"", ""Chicken flavour and Caramel (150d) (Carryover from soya sauce). \nSeasoning (in a separate sachet): lodised salt"", ""Sugar"", ""Garlic"", ""Noodle powder"", ""Maltodextrin (1400)"", ""Onion"", ""Flavour enhancer (621.627 631)"", ""Cumin"", ""Chives"", ""White pepper"", ""Oregano"", ""Cheese powder"", ""Citric acid (330)"", ""Hydrolyzed vegetable protein"", ""Dehydrated vegetables. Soy sauce powder"", ""Paprika (160C)"", ""Anticaking agent (551). Yeast extract and Chilli powder. \nFlavoured Oil: Edible Vegetable oil (Palm Olein) & Onion \nCONTAINS PERMITTED NATURAL COLOUR (Caramel 150d"", ""Paprika 160c) AND A FLAVOURS (Natural flavours & Natural flavouring substances"", ""Nature identical flavouring substances and Artificial flavouring substances (Chicken). May contain traces of MILK products & MUSTARD products.\nThis package contains added MONOSODIUM GLUTAMATE (not recommended for children under 12 months)""]","[""chicken"", ""gluten"", ""milk"", ""soybeans""]",[],,https://images.openfoodfacts.org/images/products/890/174/100/3027/front_en.7.400.jpg
amul cow ghee,amul,dairies,8901262030663,,"[""200 ml""]","[""fresh cream""]","[""milk""]",[],,https://images.openfoodfacts.org/images/products/890/126/203/0663/front_en.13.400.jpg
Mountain dew 250ml,pepsi,beverages,8902080365029,,"[""6""]","[""CARBONATED WATER"", ""SUGAR"", ""ACIDITY REGULATORS (330"", ""331)"", ""PRESERVATIVE (211)"", ""CAFFEINE"", ""STABILIZER (445). CONTAINS PERMITTED SYNTHETIC FOOD COLOUR (102) AND ADDED FLAVOUR (NATURAL FLAVOURING SUBSTANCES)""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/208/036/5029/front_en.4.400.jpg
Chips barbecue,Lay's,plant-based-foods-and-beverages,3168930007432,,"[""130 g""]","[""potatoes 61%"", ""sunflower oil"", ""rapeseed oil"", ""flavour (sugar"", ""aroma ( soy )"", ""bread crumbs ( wheat )"", ""flavour enhancer (sodium glutamate)"", ""paprika"", ""onion powder"", ""tomato powder"", ""garlic powder"", ""corrector of acidity (citric acid"", ""malic acid)"", ""colour(paprika extract)"", ""smoke flavourings)"", ""salt""]","[""gluten"", ""soybeans""]",[],,https://images.openfoodfacts.org/images/products/316/893/000/7432/front_fr.52.400.jpg
"SYNTHA-6 Ultra Premium Protein Matrix, Chocolate Milkshake",bio-engineered-supplements-nutrition,dietary-supplements,0834266007202,,"[""2.27 kg""]","[""lecithin"", ""salt"", ""cellulose gum"", ""acesulfame potassium"", ""sucralose"", ""papain"", ""bromelain"", ""t gedients: protein matrix comprised ewhey protein concentrate"", ""whey fotein isolate"", ""calcium caseinate"", ""micellar casein"", ""milk protein isolate"", ""egg albumen"", ""glutamine peptides)"", ""sunflower creamer (sunflower oil"", ""corn syrup solids"", ""sodium caseinate"", ""mono - and diglycerides"", ""dipotassium phosphate"", ""tricalcium phosphate"", ""soy lecithin"", ""tocopherols)"", ""polydextrose"", ""cocoa (processed with alkali)"", ""natural and artificial fla vor"", ""mct powder (medium chain triglycerides"", ""nonfat dry milk"", ""disodium phosphate"", ""silicon dioxide)""]","[""eggs"", ""milk"", ""soybeans""]",[],,https://images.openfoodfacts.org/images/products/083/426/600/7202/front_en.34.400.jpg
